id,created_at,text
776056850835996672,2016-09-14 13:55:46,Someone just turned off the nice lamp by the TV.
776018931618353153,2016-09-14 11:25:05,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 52.0%.
776011324727955458,2016-09-14 10:54:52,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 50.0%.
776005976310812672,2016-09-14 10:33:36,"Okay, the light by the bathroom mirror is now off!"
775998404287688704,2016-09-14 10:03:31,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 54.0%.
775990811964084224,2016-09-14 09:33:21,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 54.0%.
775983214066270208,2016-09-14 09:03:09,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 55.0%.
775974151781777408,2016-09-14 08:27:09,"It's just hit 68 inside - that's rather lovely. I'm pretty sure Tom will be happy about that.
\||| Twine"
775968021047287808,2016-09-14 08:02:47,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 56.0%.
775960439616266240,2016-09-14 07:32:40,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 57.0%.
775945227198537728,2016-09-14 06:32:13,A quick report on how the Sitting Room is doing. It's currently 19.0°C and the humidity is 58.0%.
775930034779398144,2016-09-14 05:31:51,A quick report on how the Sitting Room is doing. It's currently 19.0°C and the humidity is 57.0%.
775922998322696194,2016-09-14 05:03:53,I just noticed some movement in the Sitting Room so I guess someone's probably home!
775892050491371520,2016-09-14 03:00:54,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 56.0%.
775881545773121537,2016-09-14 02:19:10,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
775881104385568768,2016-09-14 02:17:25,Kitchen lights are now on! No longer need we cook in darkness.
775880987012202500,2016-09-14 02:16:57,"Welcome home, @tomcoates!"
775806746556239872,2016-09-13 21:21:56,Looks like Tom's gone out. I saw him check in at Four Barrel Coffee: https://t.co/1ApR3oGNLS
775778148269101056,2016-09-13 19:28:18,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 53.0%.
775762921267818496,2016-09-13 18:27:48,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 54.0%.
775757580790554624,2016-09-13 18:06:34,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/SN3TpEC5lw
775755313362460672,2016-09-13 17:57:34,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 55.0%.
775747726470475776,2016-09-13 17:27:25,I'm really pretty sure someone's at home right now. I hope it's Tom. He's my favorite.
775747712750874624,2016-09-13 17:27:22,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 55.0%.
775743682234478593,2016-09-13 17:11:21,I just noticed some movement in the Sitting Room so I guess someone's probably home!
775739421505294336,2016-09-13 16:54:25,Someone just switched on the Kitchen Sink Light.
775693294391132160,2016-09-13 13:51:07,"Okay, the light by the bathroom mirror is now off!"
775686917857878017,2016-09-13 13:25:47,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 49.0%.
775664131307438080,2016-09-13 11:55:14,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 50.0%.
775648932919738368,2016-09-13 10:54:51,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 48.0%.
775613256392114177,2016-09-13 08:33:05,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 51.0%.
775575233143209984,2016-09-13 06:01:59,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 52.0%.
775569550758862848,2016-09-13 05:39:24,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
775569523961397248,2016-09-13 05:39:18,The Kitchen Lights are now turn off. Once more we must cook in darkness!
775565982433673216,2016-09-13 05:25:14,I'm really pretty sure someone's at home right now. I hope it's Tom. He's my favorite.
775560045589331968,2016-09-13 05:01:38,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 53.0%.
775541634373193732,2016-09-13 03:48:29,I just noticed some movement in the Sitting Room so I guess someone's probably home!
775540378921492480,2016-09-13 03:43:29,Someone just turned on Tom's favorite lamp. The one by the TV. He loves that lamp.
775540221333168128,2016-09-13 03:42:52,Kitchen lights are now on! No longer need we cook in darkness.
775540219592441857,2016-09-13 03:42:51,Someone just switched on the Kitchen Sink Light.
775540057524539393,2016-09-13 03:42:13,"Welcome home, @tomcoates!"
775519649752576000,2016-09-13 02:21:07,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
775514485511577600,2016-09-13 02:00:36,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 51.0%.
775476473289474048,2016-09-12 23:29:33,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 50.0%.
775447095222366208,2016-09-12 21:32:49,Someone just turned off the nice lamp by the TV.
775392900079357952,2016-09-12 17:57:28,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 52.0%.
775387247537491970,2016-09-12 17:35:00,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/XJzXNFmRiU
775385296728915968,2016-09-12 17:27:15,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 53.0%.
775377701121167361,2016-09-12 16:57:04,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 54.0%.
775373770345230336,2016-09-12 16:41:27,@sevensixfive Thank you!
775370106654355456,2016-09-12 16:26:53,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 56.0%.
775332124329115648,2016-09-12 13:55:58,A quick report on how the Sitting Room is doing. It's currently 20.0°C and the humidity is 51.0%.
775330663507591168,2016-09-12 13:50:09,"Okay, the light by the bathroom mirror is now off!"
775294128309538816,2016-09-12 11:24:59,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 51.0%.
775286536338284544,2016-09-12 10:54:49,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 50.0%.
775270486162960384,2016-09-12 09:51:02,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 52.0%.
775255284130443264,2016-09-12 08:50:37,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 53.0%.
775224899807875072,2016-09-12 06:49:53,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 54.0%.
775201971422826496,2016-09-12 05:18:47,I just noticed some movement in the Sitting Room so I guess someone's probably home!
775201726664171520,2016-09-12 05:17:48,"Welcome home, @tomcoates!"
775174137669115904,2016-09-12 03:28:11,"Whatever else is going on, the temperature right now is pretty okay. Cool but not too cold. Must be, what... 69?
#Twine"
775174136884756488,2016-09-12 03:28:10,"It's just hit 69 inside - that's rather lovely. I'm pretty sure Tom will be happy about that.
\||| Twine"
775171715336925184,2016-09-12 03:18:33,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 55.0%.
775156522439610374,2016-09-12 02:18:11,A quick report on how the Sitting Room is doing. It's currently 21.0°C and the humidity is 56.0%.
775153597617147904,2016-09-12 02:06:33,"Phew, the big glaring lights downstairs have been turned off. What a relief. I hate those lights."
775136133105737728,2016-09-12 00:57:10,Kitchen lights are now on! No longer need we cook in darkness.
775131440258412548,2016-09-12 00:38:31,Someone just switched on the Kitchen Sink Light.
775126415339552768,2016-09-12 00:18:33,"Okay, the light by the bathroom mirror is now off!"
775126410876911617,2016-09-12 00:18:32,The Kitchen Lights are now turn off. Once more we must cook in darkness!
775126394200289280,2016-09-12 00:18:28,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
775054635543461888,2016-09-11 19:33:19,Someone just turned on my bathroom fan! That tickles!
775017170136928256,2016-09-11 17:04:27,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
774849198697115648,2016-09-11 05:56:59,"Okay, the light by the bathroom mirror is now off!"
774773796276436993,2016-09-11 00:57:22,Kitchen lights are now on! No longer need we cook in darkness.
774769396258639872,2016-09-11 00:39:53,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
774745678153129985,2016-09-10 23:05:38,It's getting warm in here today. I'd say it's probably reached something like 72. That's a little warmer than I usually like it.
774605365983973377,2016-09-10 13:48:05,"Okay, the light by the bathroom mirror is now off!"
774470072672878592,2016-09-10 04:50:28,The Kitchen Lights are now turn off. Once more we must cook in darkness!
774434949495685121,2016-09-10 02:30:54,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
774397970359914496,2016-09-10 00:03:58,It's getting warm in here today. I'd say it's probably reached something like 72. That's a little warmer than I usually like it.
774077747077480448,2016-09-09 02:51:31,Kitchen lights are now on! No longer need we cook in darkness.
774077579942690816,2016-09-09 02:50:51,Someone just switched on the Kitchen Sink Light.
773965363864342528,2016-09-08 19:24:56,The Kitchen Lights are now turn off. Once more we must cook in darkness!
773939305890873345,2016-09-08 17:41:24,"Okay, the light by the bathroom mirror is now off!"
773939298630529024,2016-09-08 17:41:22,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
773921609577037825,2016-09-08 16:31:05,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
773919532968706048,2016-09-08 16:22:50,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
773728237558136832,2016-09-08 03:42:41,Someone just switched on the Kitchen Sink Light.
773727466355556352,2016-09-08 03:39:37,Kitchen lights are now on! No longer need we cook in darkness.
773549190911844352,2016-09-07 15:51:13,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
773541969494769664,2016-09-07 15:22:31,Someone just switched on the Kitchen Sink Light.
773403896660258816,2016-09-07 06:13:52,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
773403876573712385,2016-09-07 06:13:47,The Kitchen Lights are now turn off. Once more we must cook in darkness!
773389409634967552,2016-09-07 05:16:18,"Okay, the light by the bathroom mirror is now off!"
773359870389133313,2016-09-07 03:18:56,It's getting warm in here today. I'd say it's probably reached something like 72. That's a little warmer than I usually like it.
773328063459393536,2016-09-07 01:12:32,Someone just switched on the Kitchen Sink Light.
773327636160446464,2016-09-07 01:10:50,Kitchen lights are now on! No longer need we cook in darkness.
773184935108673536,2016-09-06 15:43:48,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
773038498257506304,2016-09-06 06:01:55,"Phew, the big glaring lights downstairs have been turned off. What a relief. I hate those lights."
772973749758988293,2016-09-06 01:44:37,Someone just switched on the Kitchen Sink Light.
772973749633253376,2016-09-06 01:44:37,Kitchen lights are now on! No longer need we cook in darkness.
772972744371822592,2016-09-06 01:40:38,The Kitchen Lights are now turn off. Once more we must cook in darkness!
772968166603558913,2016-09-06 01:22:26,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
772919231054766080,2016-09-05 22:07:59,"Okay, the light by the bathroom mirror is now off!"
772918973541261312,2016-09-05 22:06:58,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
772612529415741441,2016-09-05 01:49:16,Someone just switched on the Kitchen Sink Light.
772612523384332288,2016-09-05 01:49:14,Kitchen lights are now on! No longer need we cook in darkness.
772533310216175617,2016-09-04 20:34:28,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
772533308731301888,2016-09-04 20:34:28,The Kitchen Lights are now turn off. Once more we must cook in darkness!
772530086763491328,2016-09-04 20:21:40,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/IqQDSgXPMq
772465711759458304,2016-09-04 16:05:52,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
772274785871138816,2016-09-04 03:27:11,Kitchen lights are now on! No longer need we cook in darkness.
772218261404549120,2016-09-03 23:42:35,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
772171755129540608,2016-09-03 20:37:47,Someone just switched on the Kitchen Sink Light.
771970874522079232,2016-09-03 07:19:33,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
771970846734880769,2016-09-03 07:19:27,The Kitchen Lights are now turn off. Once more we must cook in darkness!
771901197754269696,2016-09-03 02:42:41,Someone just switched on the Kitchen Sink Light.
771901181413253120,2016-09-03 02:42:37,Kitchen lights are now on! No longer need we cook in darkness.
771749617243398145,2016-09-02 16:40:21,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
771743049584181248,2016-09-02 16:14:15,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
771585648423608320,2016-09-02 05:48:48,The Kitchen Lights are now turn off. Once more we must cook in darkness!
771543584331792385,2016-09-02 03:01:39,Someone just switched on the Kitchen Sink Light.
771543575972618240,2016-09-02 03:01:37,Kitchen lights are now on! No longer need we cook in darkness.
771403318505644032,2016-09-01 17:44:17,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
771401538220781568,2016-09-01 17:37:13,The Kitchen Lights are now turn off. Once more we must cook in darkness!
771217318894460928,2016-09-01 05:25:12,The Kitchen Lights are now turn off. Once more we must cook in darkness!
771210533794045952,2016-09-01 04:58:14,Someone just switched on the Kitchen Sink Light.
771199723759816704,2016-09-01 04:15:16,Kitchen lights are now on! No longer need we cook in darkness.
771031079356620800,2016-08-31 17:05:09,The Kitchen Lights are now turn off. Once more we must cook in darkness!
771031064840110080,2016-08-31 17:05:05,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
771010033165402112,2016-08-31 15:41:31,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
770645199974465537,2016-08-30 15:31:48,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
770463609675735040,2016-08-30 03:30:13,Someone just switched on the Kitchen Sink Light.
770322060648312832,2016-08-29 18:07:45,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/DKX37m5MWQ
770301303885066241,2016-08-29 16:45:17,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
770270597616107520,2016-08-29 14:43:16,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
770269401463582720,2016-08-29 14:38:30,Kitchen lights are now on! No longer need we cook in darkness.
770102327881699331,2016-08-29 03:34:37,Someone just switched on the Kitchen Sink Light.
770102295598096384,2016-08-29 03:34:29,The Kitchen Lights are now turn off. Once more we must cook in darkness!
770101890390585345,2016-08-29 03:32:53,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
770058676505866240,2016-08-29 00:41:10,Kitchen lights are now on! No longer need we cook in darkness.
770024158810017793,2016-08-28 22:24:00,It's getting warm in here today. I'd say it's probably reached something like 72. That's a little warmer than I usually like it.
769662251137662976,2016-08-27 22:25:54,Someone just switched on the Kitchen Sink Light.
769600529542643713,2016-08-27 18:20:39,Looks like Tom's gone out. I saw him check in at It's Tops Coffee Shop: https://t.co/rkncBmFNSm
769590991724670976,2016-08-27 17:42:45,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
769461067386945538,2016-08-27 09:06:29,The Kitchen Lights are now turn off. Once more we must cook in darkness!
769430945715875840,2016-08-27 07:06:47,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
769384320855343105,2016-08-27 04:01:31,It's getting warm in here today. I'd say it's probably reached something like 72. That's a little warmer than I usually like it.
769283390503804929,2016-08-26 21:20:27,Kitchen lights are now on! No longer need we cook in darkness.
769222126121476097,2016-08-26 17:17:00,The Kitchen Lights are now turn off. Once more we must cook in darkness!
769199620849360897,2016-08-26 15:47:35,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
769199265247817728,2016-08-26 15:46:10,Someone just turned on my bathroom fan! That tickles!
768981914883612672,2016-08-26 01:22:30,Kitchen lights are now on! No longer need we cook in darkness.
768977206064320512,2016-08-26 01:03:47,Someone just switched on the Kitchen Sink Light.
768873019552960512,2016-08-25 18:09:47,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/9WTDCWXtmU
768860816955367425,2016-08-25 17:21:18,The Kitchen Lights are now turn off. Once more we must cook in darkness!
768860805764964352,2016-08-25 17:21:15,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
768852209383698433,2016-08-25 16:47:05,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
768849610043453441,2016-08-25 16:36:46,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
768692036606230528,2016-08-25 06:10:37,"Okay, the light by the bathroom mirror is now off!"
768655633327489024,2016-08-25 03:45:58,Kitchen lights are now on! No longer need we cook in darkness.
768493817305636864,2016-08-24 17:02:58,Someone just switched on the Kitchen Sink Light.
768492593420333060,2016-08-24 16:58:06,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
768156515404541953,2016-08-23 18:42:39,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
768139083730280448,2016-08-23 17:33:23,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
768062000148647936,2016-08-23 12:27:05,The Kitchen Lights are now turn off. Once more we must cook in darkness!
768044852894371842,2016-08-23 11:18:57,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
768044851573186560,2016-08-23 11:18:56,"Okay, the light by the bathroom mirror is now off!"
768025705942749184,2016-08-23 10:02:52,It's getting warm in here today. I'd say it's probably reached something like 71. That's a little warmer than I usually like it.
767984970400796672,2016-08-23 07:21:00,@gregcohn Never! Where would I go?! Also for trolls you want tweeting bridges.
767926447122051072,2016-08-23 03:28:27,Kitchen lights are now on! No longer need we cook in darkness.
767833816350285825,2016-08-22 21:20:22,Looks like Tom's gone out. I saw him check in at Tartine Manufactory: https://t.co/sfA0badnpr
767828593405722629,2016-08-22 20:59:36,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/cPG50CPCLv
767828474375573505,2016-08-22 20:59:08,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/8r93ZRNYEg
767801668914339841,2016-08-22 19:12:37,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/5V9WE4Liro
767794826062467073,2016-08-22 18:45:26,Looks like Tom's off doing something. He posted a photo to Instagram: https://t.co/oVer88afnc
767770860086263808,2016-08-22 17:10:12,To whoever it is who just turned on the light by the mirror in the Bathroom - you look beautiful today!
767738925016293376,2016-08-22 15:03:18,Tom just weighed himself. I'm going to leave it up to him to tell you if it's good news though.
767611984808476676,2016-08-22 06:38:53,The Kitchen Lights are now turn off. Once more we must cook in darkness!
767544525258719232,2016-08-22 02:10:49,Someone just switched on the Kitchen Sink Light.
767426129963675649,2016-08-21 18:20:22,Looks like Tom's gone out. I saw him check in at George's 50's Diner: https://t.co/mKhY7sn3B8
767351124106051584,2016-08-21 13:22:19,Kitchen lights are now on! No longer need we cook in darkness.
767293197366231040,2016-08-21 09:32:08,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
767280633005674496,2016-08-21 08:42:12,Someone just switched on the Kitchen Sink Light.
767198816248496128,2016-08-21 03:17:06,The Kitchen Lights are now turn off. Once more we must cook in darkness!
767169419747401728,2016-08-21 01:20:17,Looks like Tom's gone out. I saw him check in at Hyatt The Pike Long Beach: https://t.co/mODNFX9Bqt
766977870359040001,2016-08-20 12:39:08,Kitchen lights are now on! No longer need we cook in darkness.
766930801657257984,2016-08-20 09:32:06,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
766930798410891264,2016-08-20 09:32:05,Someone just switched on the Kitchen Sink Light.
766733267018125312,2016-08-19 20:27:10,The Kitchen Lights are now turn off. Once more we must cook in darkness!
766733247875313668,2016-08-19 20:27:06,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
766699375271743488,2016-08-19 18:12:30,Someone just switched on the Kitchen Sink Light.
766474061002276868,2016-08-19 03:17:11,The Kitchen Lights are now turn off. Once more we must cook in darkness!
766474042060701696,2016-08-19 03:17:06,Turning off the light over the kitchen sink. No one needs to see the horror that lives there.
766469522991751169,2016-08-19 02:59:09,Someone just switched on the Kitchen Sink Light.
